condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
hard_only,7,0.3,mix,0.7444444444444445,0.8825396825396825,0.5888888888888889
full_system,7,0.3,mix,0.7222222222222222,0.8825396825396825,0.5888888888888889
baseline,7,0.45,F1,0.5111111111111111,1.0,0.0
soft_weighting,7,0.45,F1,0.7222222222222222,1.0,0.0
hard_only,7,0.45,F1,0.5111111111111111,1.0,1.0
full_system,7,0.45,F1,0.6777777777777778,1.0,1.0
baseline,7,0.45,F2,0.5111111111111111,1.0,0.0
soft_weighting,7,0.45,F2,0.6222222222222222,1.0,0.0
hard_only,7,0.45,F2,0.45555555555555555,0.9682539682539683,0.43333333333333335
full_system,7,0.45,F2,0.6222222222222222,0.9682539682539683,0.43333333333333335
baseline,7,0.45,F3,0.5111111111111111,1.0,0.0
soft_weighting,7,0.45,F3,0.7222222222222222,1.0,0.0
hard_only,7,0.45,F3,0.5111111111111111,1.0,1.0
full_system,7,0.45,F3,0.6444444444444445,1.0,1.0
baseline,7,0.45,mix,0.7,1.0,0.0
soft_weighting,7,0.45,mix,0.7111111111111111,1.0,0.0
hard_only,7,0.45,mix,0.7333333333333333,0.8825396825396825,0.5888888888888889
full_system,7,0.45,mix,0.7444444444444445,0.8825396825396825,0.5888888888888889
